altura,fnac,fortuna,nacionalidad,nombre,peso
[1.5],"January 19, 1946",[500000000.0],United States,Dolly Rebecca Parton,[45.0]
[1.57],"September 1, 1957",[500000000.0],Cuban-American,Gloria María Milagrosa Fajardo García de Estefan,
[1.68],"April 17, 1974",[450000000.0],Englsih,Victoria Caroline Adams Beckham,
[1.68],"September 4, 1981",[420000000.0],American,Beyoncé Giselle Knowles-Carter,[59.0]
[1.7],"September 30, 1935",[400000000.0],American,John Royce Mathis,
[1.64],"July 24, 1969",[400000000.0],American,Jennifer Lynn Lopez,[56.0]
[1.71],"March 30, 1968",[380000000.0],Canada,Céline Marie Claudette Dion,[56.0]
[1.65],"April 24, 1942",[370000000.0],United States,Barbra Joan Streisand,[66.0]
,"July 8, 1961 ",[360000000.0],American,Toby Keith Covel,
,"May 24, 1941",[350000000.0],American,Robert Allen Zimmerman,
[1.61],"August 28, 1965",[350000000.0],Canadian,Eilleen Regina Edwards,[50.0]
[1.78],"September 23, 1949",[345000000.0],American,Bruce Frederick Joseph Springsteen,[79.0]
[1.76]," October 25, 1984",[330000000.0],American,Katheryn Elizabeth Hudson,[58.9]
,"May 18, 1952",[326000000.0],American,"George Harvey Strait, Sr.",
[1.55],"March 28, 1986",[320000000.0],American,Stefani Joanne Angelina Germanotta,[49.8]
[1.68]," May 20, 1946",[305000000.0],United States,Cherilyn Sarkisian,[56.6]
[1.7],"March 1, 1994",[305000000.0],Canadian,Justin Drew Bieber,[59.0]
,"September 23, 1943",[300000000.0],Spanish,Julio José Iglesias de la Cueva,
,,[280000000.0],Greece,,
[1.8]," December 13, 1989",[280000000.0],American,Taylor Alison Swift,[54.0]
,"June 15, 1943",[275000000.0],France,Jean-Philippe Sme,
[1.73],"October 26, 1965",[275000000.0],Hong Kong,Aaron Kwok Fu-shing ,
,"August 21, 1938",[250000000.0],American,"Kenneth Donald ""Kenny"" Rogers",
[1.83],"May 2, 1975 ",[670000000.0],English,David Robert Joseph Beckham,[71.0]
[1.86],"February 5, 1985",[500000000.0],Portuguese,Cristiano Ronaldo dos Santos Aveiro,[77.5]
[1.69]," June 24, 1987",[400000000.0],Argentine,Lionel Andrés Messi Cuccittini,[67.0]
,"November 24, 1936",[210000000.0],United Kingdom,David Whelan,
[1.75],"February 5, 1992",[185000000.0],Brazilian,Neymar da Silva Santos Júnior,[60.0]
[1.78],"October 24, 1985",[160000000.0],British,Wayne Mark Rooney,[83.0]
[1.8],"September 2, 1989 ",[145000000.0],Brazilian,Alexandre Rodrigues da Silva,[71.0]
